"trainer/global_step","absurd-dawn-189_Unet_resnet18_synth500 - _step","absurd-dawn-189_Unet_resnet18_synth500 - _step__MIN","absurd-dawn-189_Unet_resnet18_synth500 - _step__MAX","absurd-dawn-189_Unet_resnet18_synth500 - synthetic_valid/correctly_decoded","absurd-dawn-189_Unet_resnet18_synth500 - synthetic_valid/correctly_decoded__MIN","absurd-dawn-189_Unet_resnet18_synth500 - synthetic_valid/correctly_decoded__MAX","absurd-dawn-189_Unet_resnet18_synth500 - real_valid/correctly_decoded","absurd-dawn-189_Unet_resnet18_synth500 - real_valid/correctly_decoded__MIN","absurd-dawn-189_Unet_resnet18_synth500 - real_valid/correctly_decoded__MAX"
"199","200","200","200","0.35600000619888306","0.35600000619888306","0.35600000619888306","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"399","400","400","400","0.3700000047683716","0.3700000047683716","0.3700000047683716","0.5346534848213196","0.5346534848213196","0.5346534848213196"
"599","600","600","600","0.414000004529953","0.414000004529953","0.414000004529953","0.5049505233764648","0.5049505233764648","0.5049505233764648"
"799","800","800","800","0.43799999356269836","0.43799999356269836","0.43799999356269836","0.5247524976730347","0.5247524976730347","0.5247524976730347"
"999","1000","1000","1000","0.4819999933242798","0.4819999933242798","0.4819999933242798","0.594059407711029","0.594059407711029","0.594059407711029"
"1199","1200","1200","1200","0.5059999823570251","0.5059999823570251","0.5059999823570251","0.5049505233764648","0.5049505233764648","0.5049505233764648"
"1399","1400","1400","1400","0.5400000214576721","0.5400000214576721","0.5400000214576721","0.5445544719696045","0.5445544719696045","0.5445544719696045"
"1599","1600","1600","1600","0.5699999928474426","0.5699999928474426","0.5699999928474426","0.5049505233764648","0.5049505233764648","0.5049505233764648"
"1799","1800","1800","1800","0.5640000104904175","0.5640000104904175","0.5640000104904175","0.5346534848213196","0.5346534848213196","0.5346534848213196"
"1999","2000","2000","2000","0.6000000238418579","0.6000000238418579","0.6000000238418579","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"2199","2200","2200","2200","0.6340000033378601","0.6340000033378601","0.6340000033378601","0.5049505233764648","0.5049505233764648","0.5049505233764648"
"2399","2400","2400","2400","0.6700000166893005","0.6700000166893005","0.6700000166893005","0.5742574334144592","0.5742574334144592","0.5742574334144592"
"2599","2600","2600","2600","0.6660000085830688","0.6660000085830688","0.6660000085830688","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"2799","2800","2800","2800","0.6639999747276306","0.6639999747276306","0.6639999747276306","0.4752475321292877","0.4752475321292877","0.4752475321292877"
"2999","3000","3000","3000","0.6579999923706055","0.6579999923706055","0.6579999923706055","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"3199","3200","3200","3200","0.7080000042915344","0.7080000042915344","0.7080000042915344","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"3399","3400","3400","3400","0.7080000042915344","0.7080000042915344","0.7080000042915344","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"3599","3600","3600","3600","0.7139999866485596","0.7139999866485596","0.7139999866485596","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"3799","3800","3800","3800","0.7440000176429749","0.7440000176429749","0.7440000176429749","0.4653465449810028","0.4653465449810028","0.4653465449810028"
"3999","4000","4000","4000","0.7400000095367432","0.7400000095367432","0.7400000095367432","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"4199","4200","4200","4200","0.7260000109672546","0.7260000109672546","0.7260000109672546","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"4399","4400","4400","4400","0.7480000257492065","0.7480000257492065","0.7480000257492065","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"4599","4600","4600","4600","0.7760000228881836","0.7760000228881836","0.7760000228881836","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"4799","4800","4800","4800","0.7580000162124634","0.7580000162124634","0.7580000162124634","0.4752475321292877","0.4752475321292877","0.4752475321292877"
"4999","5000","5000","5000","0.7620000243186951","0.7620000243186951","0.7620000243186951","0.4653465449810028","0.4653465449810028","0.4653465449810028"
"5199","5200","5200","5200","0.777999997138977","0.777999997138977","0.777999997138977","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"5399","5400","5400","5400","0.765999972820282","0.765999972820282","0.765999972820282","0.5049505233764648","0.5049505233764648","0.5049505233764648"
"5599","5600","5600","5600","0.7760000228881836","0.7760000228881836","0.7760000228881836","0.49504950642585754","0.49504950642585754","0.49504950642585754"
