"trainer/global_step","different-bee-190_Unet++_resnet18_synth500 - _step","different-bee-190_Unet++_resnet18_synth500 - _step__MIN","different-bee-190_Unet++_resnet18_synth500 - _step__MAX","different-bee-190_Unet++_resnet18_synth500 - synthetic_valid/correctly_decoded","different-bee-190_Unet++_resnet18_synth500 - synthetic_valid/correctly_decoded__MIN","different-bee-190_Unet++_resnet18_synth500 - synthetic_valid/correctly_decoded__MAX","different-bee-190_Unet++_resnet18_synth500 - real_valid/correctly_decoded","different-bee-190_Unet++_resnet18_synth500 - real_valid/correctly_decoded__MIN","different-bee-190_Unet++_resnet18_synth500 - real_valid/correctly_decoded__MAX"
"199","200","200","200","0.3720000088214874","0.3720000088214874","0.3720000088214874","0.4455445408821106","0.4455445408821106","0.4455445408821106"
"399","400","400","400","0.421999990940094","0.421999990940094","0.421999990940094","0.5544554591178894","0.5544554591178894","0.5544554591178894"
"599","600","600","600","0.4580000042915344","0.4580000042915344","0.4580000042915344","0.5247524976730347","0.5247524976730347","0.5247524976730347"
"799","800","800","800","0.4560000002384186","0.4560000002384186","0.4560000002384186","0.5049505233764648","0.5049505233764648","0.5049505233764648"
"999","1000","1000","1000","0.5339999794960022","0.5339999794960022","0.5339999794960022","0.5049505233764648","0.5049505233764648","0.5049505233764648"
"1199","1200","1200","1200","0.4860000014305115","0.4860000014305115","0.4860000014305115","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"1399","1400","1400","1400","0.5680000185966492","0.5680000185966492","0.5680000185966492","0.4554455578327179","0.4554455578327179","0.4554455578327179"
"1599","1600","1600","1600","0.5820000171661377","0.5820000171661377","0.5820000171661377","0.4653465449810028","0.4653465449810028","0.4653465449810028"
"1799","1800","1800","1800","0.6740000247955322","0.6740000247955322","0.6740000247955322","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"1999","2000","2000","2000","0.7039999961853027","0.7039999961853027","0.7039999961853027","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"2199","2200","2200","2200","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"2399","2400","2400","2400","0.7059999704360962","0.7059999704360962","0.7059999704360962","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"2599","2600","2600","2600","0.7440000176429749","0.7440000176429749","0.7440000176429749","0.5049505233764648","0.5049505233764648","0.5049505233764648"
"2799","2800","2800","2800","0.7400000095367432","0.7400000095367432","0.7400000095367432","0.4752475321292877","0.4752475321292877","0.4752475321292877"
"2999","3000","3000","3000","0.7599999904632568","0.7599999904632568","0.7599999904632568","0.4653465449810028","0.4653465449810028","0.4653465449810028"
"3199","3200","3200","3200","0.7580000162124634","0.7580000162124634","0.7580000162124634","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"3399","3400","3400","3400","0.7720000147819519","0.7720000147819519","0.7720000147819519","0.4653465449810028","0.4653465449810028","0.4653465449810028"
"3599","3600","3600","3600","0.777999997138977","0.777999997138977","0.777999997138977","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"3799","3800","3800","3800","0.7739999890327454","0.7739999890327454","0.7739999890327454","0.5247524976730347","0.5247524976730347","0.5247524976730347"
"3999","4000","4000","4000","0.7639999985694885","0.7639999985694885","0.7639999985694885","0.4752475321292877","0.4752475321292877","0.4752475321292877"
"4199","4200","4200","4200","0.7739999890327454","0.7739999890327454","0.7739999890327454","0.5247524976730347","0.5247524976730347","0.5247524976730347"
"4399","4400","4400","4400","0.7860000133514404","0.7860000133514404","0.7860000133514404","0.5247524976730347","0.5247524976730347","0.5247524976730347"
"4599","4600","4600","4600","0.8019999861717224","0.8019999861717224","0.8019999861717224","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"4799","4800","4800","4800","0.8059999942779541","0.8059999942779541","0.8059999942779541","0.4752475321292877","0.4752475321292877","0.4752475321292877"
"4999","5000","5000","5000","0.8080000281333923","0.8080000281333923","0.8080000281333923","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"5199","5200","5200","5200","0.7960000038146973","0.7960000038146973","0.7960000038146973","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"5399","5400","5400","5400","0.7760000228881836","0.7760000228881836","0.7760000228881836","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"5599","5600","5600","5600","0.8019999861717224","0.8019999861717224","0.8019999861717224","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"5799","5800","5800","5800","0.8080000281333923","0.8080000281333923","0.8080000281333923","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"5999","6000","6000","6000","0.8119999766349792","0.8119999766349792","0.8119999766349792","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"6199","6200","6200","6200","0.8360000252723694","0.8360000252723694","0.8360000252723694","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"6399","6400","6400","6400","0.8119999766349792","0.8119999766349792","0.8119999766349792","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"6599","6600","6600","6600","0.8100000023841858","0.8100000023841858","0.8100000023841858","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"6799","6800","6800","6800","0.8220000267028809","0.8220000267028809","0.8220000267028809","0.5049505233764648","0.5049505233764648","0.5049505233764648"
"6999","7000","7000","7000","0.8299999833106995","0.8299999833106995","0.8299999833106995","0.4455445408821106","0.4455445408821106","0.4455445408821106"
"7199","7200","7200","7200","0.8339999914169312","0.8339999914169312","0.8339999914169312","0.4752475321292877","0.4752475321292877","0.4752475321292877"
