"trainer/global_step","fragrant-yogurt-186_Unet_eff-b3_synth500 - _step","fragrant-yogurt-186_Unet_eff-b3_synth500 - _step__MIN","fragrant-yogurt-186_Unet_eff-b3_synth500 - _step__MAX","fragrant-yogurt-186_Unet_eff-b3_synth500 - synthetic_valid/correctly_decoded","fragrant-yogurt-186_Unet_eff-b3_synth500 - synthetic_valid/correctly_decoded__MIN","fragrant-yogurt-186_Unet_eff-b3_synth500 - synthetic_valid/correctly_decoded__MAX","fragrant-yogurt-186_Unet_eff-b3_synth500 - real_valid/correctly_decoded","fragrant-yogurt-186_Unet_eff-b3_synth500 - real_valid/correctly_decoded__MIN","fragrant-yogurt-186_Unet_eff-b3_synth500 - real_valid/correctly_decoded__MAX"
"199","124","124","124","0.18000000715255737","0.18000000715255737","0.18000000715255737","0.30693069100379944","0.30693069100379944","0.30693069100379944"
"399","199","199","199","0.2939999997615814","0.2939999997615814","0.2939999997615814","0.4554455578327179","0.4554455578327179","0.4554455578327179"
"599","274","274","274","0.3880000114440918","0.3880000114440918","0.3880000114440918","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"799","349","349","349","0.4339999854564667","0.4339999854564667","0.4339999854564667","0.5049505233764648","0.5049505233764648","0.5049505233764648"
"999","424","424","424","0.4339999854564667","0.4339999854564667","0.4339999854564667","0.5247524976730347","0.5247524976730347","0.5247524976730347"
"1199","499","499","499","0.4359999895095825","0.4359999895095825","0.4359999895095825","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"1399","574","574","574","0.5059999823570251","0.5059999823570251","0.5059999823570251","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"1599","649","649","649","0.4659999907016754","0.4659999907016754","0.4659999907016754","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"1799","724","724","724","0.4880000054836273","0.4880000054836273","0.4880000054836273","0.5445544719696045","0.5445544719696045","0.5445544719696045"
"1999","799","799","799","0.5619999766349792","0.5619999766349792","0.5619999766349792","0.5445544719696045","0.5445544719696045","0.5445544719696045"
"2199","874","874","874","0.5440000295639038","0.5440000295639038","0.5440000295639038","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"2399","949","949","949","0.578000009059906","0.578000009059906","0.578000009059906","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"2599","1024","1024","1024","0.6240000128746033","0.6240000128746033","0.6240000128746033","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"2799","1099","1099","1099","0.6320000290870667","0.6320000290870667","0.6320000290870667","0.4653465449810028","0.4653465449810028","0.4653465449810028"
"2999","1174","1174","1174","0.6359999775886536","0.6359999775886536","0.6359999775886536","0.41584157943725586","0.41584157943725586","0.41584157943725586"
"3199","1249","1249","1249","0.6399999856948853","0.6399999856948853","0.6399999856948853","0.4554455578327179","0.4554455578327179","0.4554455578327179"
"3399","1324","1324","1324","0.6740000247955322","0.6740000247955322","0.6740000247955322","0.4455445408821106","0.4455445408821106","0.4455445408821106"
